reservation_date,country_from,reserved_room_type,customer_type
7/4/2015,PRT,D,Transient
7/4/2015,PRT,H,Transient
7/4/2015,ESP,E,Transient
7/4/2015,FRA,A,Transient-Party
7/4/2015,PRT,A,Transient
7/4/2015,FRA,A,Transient-Party
7/4/2015,FRA,A,Transient-Party
7/5/2015,ESP,A,Transient
7/5/2015,PRT,D,Transient
7/5/2015,ESP,A,Transient
7/5/2015,DEU,A,Transient
7/5/2015,PRT,A,Transient
7/5/2015,PRT,A,Transient
7/5/2015,DEU,A,Transient
7/5/2015,PRT,D,Transient
7/5/2015,PRT,G,Transient
7/5/2015,PRT,G,Transient
7/5/2015,FRA,D,Transient
7/5/2015,ESP,D,Transient
7/5/2015,CN,A,Transient
7/5/2015,ESP,E,Transient
7/5/2015,PRT,E,Transient
7/5/2015,ESP,H,Transient
7/5/2015,PRT,A,Transient
7/5/2015,PRT,H,Transient
7/5/2015,PRT,D,Transient
7/5/2015,PRT,C,Transient
7/5/2015,IRL,F,Transient
7/5/2015,PRT,A,Transient
7/5/2015,ESP,E,Transient
7/5/2015,CHE,H,Transient
7/5/2015,PRT,D,Transient
7/5/2015,PRT,D,Transient
7/5/2015,GBR,D,Contract
7/5/2015,GBR,A,Contract
7/5/2015,GBR,D,Contract
7/6/2015,PRT,G,Transient
7/6/2015,PRT,A,Transient
7/6/2015,USA,G,Transient
7/6/2015,CN,D,Transient
7/6/2015,CHE,G,Transient
7/6/2015,PRT,D,Transient
7/6/2015,USA,G,Transient
7/6/2015,PRT,A,Transient
7/6/2015,PRT,E,Transient
7/6/2015,PRT,A,Transient
7/6/2015,PRT,A,Transient
7/6/2015,USA,D,Transient
7/6/2015,GRC,D,Transient
7/6/2015,PRT,E,Transient
7/6/2015,PRT,A,Transient
7/6/2015,PRT,A,Transient
7/6/2015,PRT,E,Transient
7/6/2015,PRT,F,Transient
7/6/2015,ESP,A,Transient
7/6/2015,PRT,E,Transient
7/6/2015,PRT,G,Transient
7/6/2015,PRT,A,Transient
7/6/2015,GBR,A,Contract
7/6/2015,PRT,A,Transient
7/6/2015,PRT,D,Transient
7/6/2015,GBR,A,Transient
7/6/2015,GBR,D,Transient
7/6/2015,PRT,F,Transient
7/6/2015,GBR,D,Contract
7/6/2015,FRA,A,Transient
7/6/2015,ITA,D,Contract
7/6/2015,GBR,A,Contract
7/6/2015,PRT,D,Transient
7/7/2015,PRT,A,Transient
7/7/2015,ESP,A,Transient
7/7/2015,PRT,F,Transient
7/7/2015,PRT,A,Transient
7/7/2015,PRT,A,Transient
7/7/2015,GBR,A,Transient
7/7/2015,PRT,C,Transient
7/7/2015,GBR,A,Transient
7/7/2015,ESP,H,Transient
7/7/2015,PRT,D,Transient
7/7/2015,USA,D,Transient
7/7/2015,NLD,A,Transient
7/7/2015,PRT,A,Transient
7/7/2015,PRT,E,Transient
7/7/2015,IRL,D,Transient
7/7/2015,PRT,A,Contract
7/7/2015,IRL,D,Contract
7/8/2015,GBR,E,Transient
7/8/2015,PRT,A,Transient
7/8/2015,ESP,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,ESP,D,Transient
7/8/2015,PRT,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,CHE,A,Transient
7/8/2015,PRT,A,Transient
7/8/2015,PRT,E,Transient
7/8/2015,PRT,D,Contract
7/8/2015,GBR,E,Transient
7/8/2015,GBR,D,Contract
7/8/2015,PRT,E,Transient
7/8/2015,IRL,A,Transient
7/8/2015,DNK,E,Transient-Party
7/8/2015,DNK,E,Transient-Party
7/9/2015,PRT,C,Transient
7/9/2015,ARG,A,Transient
7/9/2015,PRT,H,Transient
7/9/2015,PRT,D,Transient
7/9/2015,PRT,C,Transient
7/9/2015,PRT,G,Transient
7/9/2015,PRT,A,Transient
7/9/2015,PRT,A,Transient
7/9/2015,PRT,A,Transient
7/9/2015,RUS,A,Transient
7/9/2015,SWE,A,Transient
7/9/2015,POL,A,Transient
7/9/2015,FRA,A,Transient
7/9/2015,GBR,A,Contract
7/9/2015,GBR,E,Contract
7/9/2015,GBR,E,Contract
7/9/2015,PRT,A,Transient
7/9/2015,PRT,A,Transient
7/10/2015,USA,A,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,G,Transient
7/10/2015,PRT,D,Transient
7/10/2015,PRT,A,Transient
7/10/2015,GBR,C,Transient
7/10/2015,AUS,A,Transient
7/10/2015,GBR,E,Transient
7/10/2015,PRT,F,Transient-Party
7/10/2015,PRT,F,Transient-Party
7/10/2015,PRT,E,Transient
7/10/2015,POL,A,Transient
7/10/2015,PRT,C,Transient
7/10/2015,EST,G,Transient
7/10/2015,PRT,A,Transient
7/10/2015,PRT,D,Transient
7/10/2015,PRT,D,Transient
7/10/2015,PRT,E,Transient
7/10/2015,RUS,E,Transient
7/10/2015,GBR,F,Transient
7/10/2015,PRT,C,Transient
7/10/2015,PRT,C,Transient
7/10/2015,IRL,A,Transient
7/10/2015,PRT,D,Transient
7/10/2015,GBR,F,Transient
7/10/2015,DNK,C,Transient
7/10/2015,GBR,D,Transient
7/10/2015,GBR,F,Transient
7/11/2015,PRT,A,Transient
7/11/2015,ESP,A,Transient
7/11/2015,PRT,A,Transient
7/11/2015,PRT,E,Transient
7/11/2015,PRT,D,Transient
7/11/2015,ESP,A,Transient
7/11/2015,PRT,E,Transient
7/11/2015,PRT,A,Transient
7/11/2015,GBR,E,Transient
7/11/2015,PRT,E,Transient
7/11/2015,CZE,E,Transient
7/11/2015,GBR,A,Transient
7/11/2015,DEU,A,Transient
7/11/2015,ESP,G,Transient
7/11/2015,ESP,A,Transient
7/11/2015,PRT,A,Transient
7/11/2015,ESP,A,Transient
7/11/2015,ROU,C,Transient
7/11/2015,PRT,E,Transient
7/11/2015,ESP,A,Transient
7/11/2015,PRT,D,Transient
7/11/2015,PRT,A,Transient
7/11/2015,PRT,D,Transient
7/11/2015,PRT,G,Transient
7/11/2015,PRT,E,Transient
7/11/2015,PRT,A,Transient
7/11/2015,PRT,E,Transient
7/12/2015,CN,G,Transient
7/12/2015,PRT,A,Transient
7/12/2015,PRT,A,Transient
7/12/2015,PRT,A,Transient
7/12/2015,GBR,A,Transient
7/12/2015,BRA,D,Transient
7/12/2015,PRT,A,Transient-Party
7/12/2015,ESP,D,Transient
7/12/2015,PRT,C,Transient
7/12/2015,GBR,A,Contract
7/12/2015,PRT,A,Transient-Party
7/12/2015,PRT,E,Contract
7/12/2015,GBR,D,Transient
7/12/2015,PRT,A,Transient
7/12/2015,GBR,D,Transient
7/12/2015,ESP,E,Transient
7/12/2015,PRT,E,Transient
7/12/2015,FRA,A,Transient
7/12/2015,PRT,A,Transient
7/12/2015,GBR,D,Transient
7/12/2015,GBR,A,Contract
7/12/2015,PRT,D,Contract
7/12/2015,GBR,A,Transient
7/12/2015,PRT,A,Transient
7/12/2015,BEL,G,Transient
7/12/2015,ESP,A,Transient
7/12/2015,FRA,F,Transient
7/12/2015,ESP,A,Transient
7/12/2015,BEL,A,Transient
7/12/2015,ITA,D,Contract
7/12/2015,ESP,A,Transient
7/12/2015,PRT,A,Transient
7/12/2015,FRA,A,Transient
7/12/2015,FIN,E,Transient
7/12/2015,CN,G,Transient
7/12/2015,ESP,D,Contract
7/12/2015,PRT,F,Transient
7/12/2015,IRL,H,Transient
7/12/2015,ESP,D,Transient
7/13/2015,ESP,G,Transient
7/13/2015,PRT,A,Transient-Party
7/13/2015,PRT,A,Transient
7/13/2015,GBR,A,Transient
7/13/2015,ESP,A,Transient-Party
7/13/2015,ESP,A,Transient
7/13/2015,AUS,A,Transient
7/13/2015,ESP,A,Transient-Party
7/13/2015,PRT,L,Transient
7/13/2015,ESP,A,Transient
7/13/2015,ESP,A,Transient
7/13/2015,PRT,E,Transient
7/13/2015,USA,D,Transient
7/13/2015,PRT,A,Transient
7/13/2015,ESP,A,Transient
7/13/2015,PRT,A,Transient
7/13/2015,ESP,E,Transient
7/13/2015,PRT,A,Transient
7/13/2015,PRT,D,Transient
7/13/2015,PRT,A,Transient
7/13/2015,ESP,D,Transient
7/13/2015,PRT,D,Contract
7/13/2015,PRT,D,Transient
7/13/2015,PRT,D,Transient
7/13/2015,PRT,A,Transient
7/13/2015,PRT,D,Transient
7/13/2015,ESP,D,Transient
7/13/2015,PRT,E,Transient
7/13/2015,PRT,A,Transient
7/13/2015,PRT,A,Transient
7/13/2015,PRT,D,Transient
7/13/2015,FRA,A,Transient
7/13/2015,PRT,A,Transient-Party
7/13/2015,PRT,D,Transient
7/13/2015,ESP,E,Transient
7/13/2015,PRT,A,Transient
7/13/2015,ROU,A,Transient
7/13/2015,ESP,A,Transient
7/13/2015,FIN,A,Contract
7/13/2015,GBR,D,Transient
7/14/2015,PRT,D,Transient
7/14/2015,PRT,A,Transient
7/14/2015,PRT,A,Transient
7/14/2015,PRT,D,Transient
7/14/2015,PRT,E,Transient
7/14/2015,ESP,A,Transient
7/14/2015,POL,E,Transient
7/14/2015,PRT,A,Transient
7/14/2015,PRT,A,Transient-Party
7/14/2015,PRT,E,Transient-Party
7/14/2015,PRT,H,Transient
7/14/2015,PRT,A,Transient
7/14/2015,ESP,A,Transient
7/14/2015,ESP,A,Transient
7/14/2015,PRT,A,Transient
7/14/2015,PRT,A,Transient
7/14/2015,IRL,A,Transient
7/14/2015,IRL,A,Transient
7/14/2015,SWE,D,Transient
7/14/2015,SWE,D,Transient
7/14/2015,PRT,H,Transient
7/14/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient
7/15/2015,PRT,D,Transient
7/15/2015,POL,D,Transient
7/15/2015,PRT,D,Transient
7/15/2015,GBR,H,Transient
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient
7/15/2015,GBR,G,Transient
7/15/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient
7/15/2015,PRT,A,Transient-Party
7/15/2015,PRT,A,Transient-Party
7/16/2015,PRT,G,Transient
7/16/2015,DNK,A,Transient
7/16/2015,FIN,F,Transient
7/16/2015,PRT,A,Transient
7/16/2015,PRT,F,Transient
7/16/2015,USA,C,Transient
7/16/2015,PRT,H,Transient
7/16/2015,PRT,A,Transient
7/16/2015,PRT,A,Transient
7/16/2015,DNK,A,Transient
7/16/2015,ESP,D,Transient
7/16/2015,PRT,A,Transient
7/16/2015,PRT,A,Transient
7/16/2015,PRT,A,Transient
7/16/2015,ESP,A,Transient
7/16/2015,IRL,D,Transient-Party
7/16/2015,PRT,E,Transient
7/16/2015,IRL,D,Transient-Party
7/16/2015,PRT,A,Transient
7/16/2015,PRT,D,Transient
7/16/2015,PRT,A,Transient
7/16/2015,PRT,D,Transient
7/16/2015,GBR,A,Contract
7/16/2015,PRT,A,Transient
7/16/2015,PRT,E,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,E,Transient
7/17/2015,PRT,D,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,ESP,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,D,Transient
7/17/2015,ESP,D,Transient
7/17/2015,PRT,D,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,A,Transient-Party
7/17/2015,ESP,A,Transient
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,A,Transient-Party
7/17/2015,PRT,G,Transient
7/17/2015,PRT,E,Transient
7/17/2015,ESP,G,Transient
7/17/2015,IRL,A,Transient
7/17/2015,PRT,G,Transient
7/17/2015,PRT,A,Transient
7/17/2015,PRT,E,Transient
7/17/2015,GBR,A,Transient
7/17/2015,PRT,A,Transient
7/17/2015,ESP,A,Transient
7/17/2015,ESP,D,Transient
7/17/2015,FRA,H,Transient
7/17/2015,ESP,F,Transient
7/17/2015,MOZ,A,Transient
7/17/2015,BWA,A,Transient
7/17/2015,PRT,E,Transient
7/17/2015,GBR,D,Contract
7/17/2015,ESP,D,Transient
7/17/2015,DEU,A,Transient
7/17/2015,PRT,D,Transient
7/17/2015,IRL,A,Transient
7/17/2015,GBR,A,Transient
7/17/2015,PRT,L,Transient
7/17/2015,MOZ,A,Transient
7/17/2015,ESP,A,Transient
7/17/2015,PRT,A,Transient
7/18/2015,ESP,D,Transient
7/18/2015,PRT,E,Transient
7/18/2015,LUX,A,Transient
7/18/2015,PRT,C,Transient
7/18/2015,PRT,D,Transient
7/18/2015,PRT,E,Transient
7/18/2015,PRT,E,Transient
7/18/2015,PRT,A,Transient
7/18/2015,PRT,A,Transient
7/18/2015,PRT,E,Transient
7/18/2015,PRT,H,Transient
7/18/2015,PRT,E,Contract
7/18/2015,GBR,A,Transient
7/18/2015,PRT,C,Transient
7/18/2015,PRT,D,Transient
7/18/2015,PRT,C,Transient
7/18/2015,PRT,G,Transient
7/18/2015,CN,D,Transient
7/18/2015,PRT,D,Transient
7/18/2015,ESP,E,Transient
7/18/2015,PRT,A,Transient
7/18/2015,PRT,A,Transient
7/18/2015,PRT,D,Transient
7/18/2015,PRT,D,Transient
7/18/2015,PRT,D,Transient
7/18/2015,PRT,A,Transient
7/18/2015,ESP,A,Transient
7/18/2015,PRT,D,Transient
7/18/2015,ESP,A,Transient
7/18/2015,IRL,A,Transient
7/19/2015,PRT,A,Transient
7/19/2015,PRT,A,Group
7/19/2015,NLD,D,Transient
7/19/2015,PRT,A,Group
7/19/2015,PRT,A,Transient
7/19/2015,PRT,E,Transient
7/19/2015,PRT,E,Transient
7/19/2015,PRT,A,Transient
7/19/2015,PRT,D,Transient
7/19/2015,PRT,A,Transient
7/19/2015,PRT,D,Transient
7/19/2015,PRT,E,Transient
7/19/2015,ESP,C,Transient
7/19/2015,PRT,A,Transient
7/19/2015,GBR,D,Contract
7/19/2015,PRT,E,Transient
7/19/2015,RUS,A,Transient
7/19/2015,PRT,D,Transient
7/19/2015,IRL,D,Transient
7/19/2015,PRT,A,Transient
7/19/2015,PRT,G,Transient
7/19/2015,PRT,A,Transient
7/19/2015,GBR,D,Contract
7/19/2015,IRL,D,Transient
7/19/2015,PRT,G,Transient
7/19/2015,GBR,C,Contract
7/19/2015,GBR,D,Transient
7/19/2015,ESP,E,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,G,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,A,Transient
7/20/2015,POL,A,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,D,Transient
7/20/2015,NOR,E,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,G,Transient
7/20/2015,ESP,A,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,G,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,D,Transient
7/20/2015,GBR,E,Transient
7/20/2015,PRT,F,Transient
7/20/2015,GBR,C,Transient
7/20/2015,PRT,A,Transient
7/20/2015,ESP,A,Transient
7/20/2015,ESP,D,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,G,Transient
7/20/2015,PRT,F,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,D,Transient
7/20/2015,PRT,A,Transient
7/20/2015,PRT,A,Transient
7/21/2015,PRT,E,Transient
7/21/2015,PRT,A,Transient
7/21/2015,PRT,A,Transient
7/21/2015,PRT,G,Transient
7/21/2015,PRT,A,Transient
7/21/2015,PRT,G,Transient
7/21/2015,PRT,A,Transient
7/21/2015,IRL,E,Transient
7/21/2015,CHE,A,Transient
7/21/2015,PRT,A,Transient
7/21/2015,IRL,E,Transient
7/21/2015,GBR,A,Transient
7/22/2015,ESP,E,Transient
7/22/2015,PRT,A,Transient
7/22/2015,PRT,D,Transient
7/22/2015,FRA,D,Transient
7/22/2015,PRT,G,Transient
7/22/2015,PRT,D,Transient
7/22/2015,PRT,D,Transient
7/23/2015,PRT,C,Transient
7/23/2015,PRT,D,Transient
7/23/2015,PRT,D,Transient
7/23/2015,PRT,C,Transient
7/23/2015,PRT,A,Transient
7/23/2015,ESP,E,Transient-Party
7/23/2015,PRT,A,Transient
7/23/2015,PRT,D,Transient
7/23/2015,ESP,D,Transient
7/23/2015,PRT,H,Transient
7/23/2015,PRT,E,Transient
7/23/2015,CN,D,Transient
7/23/2015,PRT,E,Transient
7/23/2015,PRT,D,Transient
7/23/2015,ROU,D,Transient
7/24/2015,ESP,E,Transient-Party
7/24/2015,BRA,D,Transient-Party
7/24/2015,PRT,A,Transient
7/24/2015,ESP,A,Transient-Party
7/24/2015,ESP,D,Transient-Party
7/24/2015,ESP,A,Transient-Party
7/24/2015,PRT,A,Transient
7/24/2015,ESP,A,Transient-Party
7/24/2015,PRT,G,Transient
7/24/2015,ESP,D,Transient
7/24/2015,BRA,D,Transient-Party
7/24/2015,PRT,D,Transient
7/24/2015,PRT,E,Transient
7/24/2015,RUS,H,Transient
7/24/2015,PRT,D,Transient
7/24/2015,ESP,A,Transient
7/24/2015,PRT,A,Transient
7/24/2015,PRT,D,Transient
7/24/2015,SVN,A,Transient
7/24/2015,PRT,A,Transient
7/24/2015,ALB,A,Transient
7/24/2015,GBR,A,Transient-Party
7/24/2015,GBR,A,Transient-Party
7/24/2015,PRT,A,Transient
7/24/2015,PRT,A,Transient
7/24/2015,PRT,A,Transient
7/24/2015,PRT,H,Transient
7/24/2015,PRT,D,Transient
7/24/2015,ESP,A,Transient
7/24/2015,GBR,E,Transient
7/24/2015,PRT,A,Transient
7/24/2015,PRT,A,Contract
7/25/2015,PRT,D,Transient
7/25/2015,PRT,A,Transient
7/25/2015,ESP,A,Transient
7/25/2015,ESP,A,Transient
7/25/2015,ESP,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,D,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,ESP,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,GBR,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,ESP,D,Transient
7/25/2015,ESP,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,C,Transient
7/25/2015,PRT,G,Transient
7/25/2015,IRL,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,E,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,D,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,GBR,E,Transient
7/25/2015,GBR,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,D,Transient
7/25/2015,PRT,A,Transient
7/25/2015,IRL,D,Contract
7/25/2015,PRT,A,Contract
7/25/2015,PRT,A,Transient
7/25/2015,PRT,A,Transient
7/25/2015,PRT,G,Transient
7/25/2015,PRT,E,Transient
7/26/2015,PRT,D,Transient
7/26/2015,PRT,A,Transient
7/26/2015,ESP,A,Transient
7/26/2015,CN,A,Transient-Party
7/26/2015,PRT,A,Transient
7/26/2015,PRT,E,Transient
7/26/2015,PRT,E,Transient
7/26/2015,PRT,A,Transient
7/26/2015,PRT,E,Transient
7/26/2015,ESP,C,Transient
7/26/2015,RUS,A,Transient
7/26/2015,PRT,E,Transient
7/26/2015,PRT,A,Transient
7/26/2015,PRT,A,Transient
7/26/2015,GBR,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,H,Transient
7/27/2015,PRT,E,Transient
7/27/2015,PRT,G,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,D,Transient
7/27/2015,PRT,E,Transient
7/27/2015,PRT,A,Transient
7/27/2015,ESP,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,ESP,F,Transient
7/27/2015,PRT,A,Transient
7/27/2015,ESP,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,ESP,A,Transient
7/27/2015,PRT,D,Transient
7/27/2015,ESP,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,F,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,E,Transient
7/27/2015,PRT,D,Transient
7/27/2015,PRT,D,Transient
7/27/2015,PRT,G,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,ESP,A,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,E,Transient
7/27/2015,PRT,G,Transient
7/27/2015,PRT,A,Transient
7/27/2015,PRT,E,Transient
7/27/2015,GBR,A,Transient
7/27/2015,GBR,D,Transient
7/28/2015,GBR,D,Transient
7/28/2015,USA,D,Transient
7/28/2015,PRT,D,Transient
7/28/2015,PRT,G,Transient
7/28/2015,PRT,D,Transient
7/28/2015,ESP,A,Transient
7/28/2015,RUS,A,Transient
7/28/2015,PRT,F,Transient
7/28/2015,PRT,D,Transient
7/28/2015,PRT,D,Transient
7/28/2015,ESP,D,Transient
7/28/2015,NOR,A,Transient
7/28/2015,PRT,D,Contract
7/28/2015,USA,A,Transient
7/29/2015,PRT,D,Contract
7/29/2015,PRT,A,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,D,Transient
7/29/2015,GBR,A,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,H,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,H,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,A,Transient
7/29/2015,GBR,A,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,D,Transient
7/29/2015,GBR,A,Transient
7/29/2015,PRT,F,Transient
7/29/2015,PRT,D,Transient
7/29/2015,GBR,A,Transient
7/29/2015,PRT,A,Transient
7/29/2015,PRT,A,Transient
7/30/2015,PRT,D,Transient
7/30/2015,ESP,A,Transient
7/30/2015,PRT,A,Transient
7/30/2015,PRT,A,Transient
7/30/2015,GBR,A,Transient
7/30/2015,PRT,G,Transient
7/30/2015,PRT,A,Transient
7/30/2015,PRT,D,Transient
7/30/2015,PRT,A,Transient
7/30/2015,ESP,C,Transient
7/30/2015,BRA,A,Transient
7/30/2015,PRT,A,Transient
7/30/2015,PRT,D,Transient
7/30/2015,PRT,E,Transient
7/30/2015,PRT,A,Transient
7/30/2015,PRT,A,Transient
7/30/2015,PRT,E,Transient
7/30/2015,CHE,D,Transient-Party
7/30/2015,CHE,D,Transient-Party
